"id","policyNumber","name","dob","dop","gender","smokingStatus","faceAmount"
671,671,"Max Brandle        ","1974-10-09","2014-10-01","male","Smoker",315000
672,672,"Petronia Rudeforth ","1965-10-18","1986-08-01","male","Smoker",115000
673,673,"Iosep Baugh        ","1972-07-03","1995-09-01","male","Non-Smoker",465000
674,674,"Dominick Sneller   ","1989-02-14","2010-03-01","male","Non-Smoker",375000
675,675,"Donica Foulgham    ","1983-07-01","2009-11-01","male","Smoker",240000
676,676,"Elberta Ferdinand  ","1960-05-08","2003-05-01","female","Non-Smoker",20000
677,677,"Glendon Keiley     ","1950-07-10","2000-02-01","female","Non-Smoker",265000
678,678,"Skipp Matveyev     ","1992-11-20","2009-08-01","female","Non-Smoker",500000
679,679,"Dinnie Stook       ","1968-06-23","1991-05-01","female","Smoker",60000
680,680,"Wilona Cacacie     ","1974-05-08","2004-12-01","male","Non-Smoker",55000
681,681,"Raff Portwaine     ","1984-09-15","2005-06-01","male","Non-Smoker",400000
682,682,"Brigitta Gaunter   ","1951-03-21","2007-10-01","male","Non-Smoker",260000
683,683,"Hercule Shee       ","1991-11-01","2016-09-01","male","Smoker",270000
684,684,"Angelique Sustin   ","1965-11-13","2009-02-01","female","Non-Smoker",220000
685,685,"Chere Seaton       ","1954-06-15","1982-10-01","female","Smoker",125000
686,686,"Clio Randlesome    ","1958-05-15","1996-04-01","female","Smoker",215000
687,687,"Alina Millam       ","1983-11-01","2013-09-01","female","Smoker",30000
688,688,"Cosetta Astbery    ","1980-12-14","2008-02-01","female","Non-Smoker",455000
689,689,"Ado Gurdon","1977-03-07","2004-09-01","male","Smoker",435000
690,690,"Latrina Crambie    ","1954-06-28","2010-10-01","female","Non-Smoker",65000
691,691,"Barbette Biggadike ","1968-07-10","2001-07-01","male","Smoker",325000
692,692,"Janek OIlier       ","1994-10-15","2010-06-01","female","Smoker",475000
693,693,"Gratia Antonelli   ","1959-04-27","1993-10-01","female","Non-Smoker",85000
694,694,"Sidoney Brandle    ","1967-03-11","1989-03-01","male","Non-Smoker",235000
695,695,"Damon Gammett      ","1953-08-08","2013-03-01","male","Non-Smoker",145000
696,696,"Donavon Dahlbom    ","1971-10-03","1999-05-01","male","Non-Smoker",170000
697,697,"Jaquenetta Yakunkin","1998-04-15","2014-05-01","male","Smoker",450000
698,698,"Arlyne Airth       ","1970-06-03","1998-07-01","male","Non-Smoker",75000
699,699,"Adore Rotham       ","1973-12-17","2005-08-01","female","Smoker",235000
700,700,"Andy Gillion       ","1963-05-08","2016-02-01","male","Non-Smoker",55000
701,701,"Welch Guerin       ","1977-03-24","2000-04-01","male","Smoker",195000
702,702,"Earvin Boulds      ","1997-03-14","2015-08-01","male","Non-Smoker",440000
703,703,"Cherianne Coopman  ","1988-10-13","2016-10-01","female","Non-Smoker",450000
704,704,"Nannie Pepin       ","1973-08-08","2004-11-01","female","Smoker",415000
705,705,"Reyna Hiddersley   ","1999-04-14","2015-06-01","female","Smoker",220000
706,706,"Damaris Redholes   ","1988-08-18","2008-05-01","male","Smoker",240000
707,707,"Denny Purselowe    ","1959-09-05","2012-02-01","male","Smoker",320000
708,708,"Emelyne Housegoe   ","1988-03-22","2013-09-01","male","Smoker",305000
709,709,"Kassie Surtees     ","1968-03-09","1988-06-01","female","Non-Smoker",495000
710,710,"Almire Deveril     ","1968-09-02","2008-04-01","male","Non-Smoker",430000
711,711,"Mortie Collman     ","1967-06-05","1990-06-01","female","Smoker",235000
712,712,"Haze Mc Mechan     ","1974-08-23","2000-03-01","male","Smoker",390000
713,713,"Darsey McGeouch    ","1952-11-06","1988-02-01","female","Smoker",195000
714,714,"Lexine Von Oertzen ","2000-12-13","2016-05-01","female","Non-Smoker",310000
715,715,"Jehu Paybody       ","1974-07-08","2001-06-01","male","Non-Smoker",340000
716,716,"Valaria Janic      ","1958-02-23","2006-03-01","male","Non-Smoker",350000
717,717,"Mikol Skouling     ","1972-08-16","2011-04-01","female","Smoker",35000
718,718,"Shirleen Lygo      ","1986-12-14","2003-03-01","male","Non-Smoker",315000
719,719,"Oliviero Altimas   ","1995-07-24","2014-11-01","female","Smoker",465000
720,720,"Elsie Birdsey      ","1984-09-22","2005-02-01","female","Smoker",125000
721,721,"Malchy Parren      ","1976-12-22","2003-08-01","male","Non-Smoker",55000
722,722,"Rosanne Lavallie   ","1963-09-16","1988-06-01","male","Smoker",275000
723,723,"Dickie Tooker      ","1962-04-19","1997-06-01","female","Smoker",25000
724,724,"Donn Garwood       ","1955-10-19","1984-09-01","female","Smoker",95000
725,725,"Kailey Degoey      ","1981-05-20","2009-06-01","male","Smoker",250000
726,726,"Hewe OLunny       ","1956-05-05","1996-02-01","female","Smoker",465000
727,727,"Thibaut Fitzhenry  ","1962-10-23","1992-12-01","male","Smoker",405000
728,728,"Leupold Snoddon    ","1998-09-07","2016-09-01","male","Non-Smoker",300000
729,729,"Blanch Grieswood   ","1966-02-27","2012-06-01","female","Non-Smoker",175000
730,730,"Erasmus Vittle     ","1999-02-25","2016-02-01","male","Non-Smoker",385000
731,731,"Nicol Jaray        ","1991-11-23","2012-07-01","female","Smoker",320000
732,732,"Rivkah Crommett    ","1994-06-12","2013-12-01","male","Non-Smoker",370000
733,733,"Moll Nell ","1954-08-05","1988-12-01","female","Non-Smoker",415000
734,734,"Kearney Paulin     ","1986-05-01","2008-09-01","female","Non-Smoker",455000
735,735,"Lorine Havoc       ","1955-06-12","2004-12-01","male","Non-Smoker",70000
736,736,"Keen Andreolli     ","1975-04-13","2003-10-01","male","Smoker",155000
737,737,"Annis Bissiker     ","1964-03-17","2004-05-01","male","Smoker",400000
738,738,"Caye Paice","1973-08-02","1990-02-01","male","Non-Smoker",345000
739,739,"Godart Krabbe      ","1985-07-06","2016-04-01","female","Smoker",450000
740,740,"Annabelle MacGrath ","1967-07-21","2014-11-01","female","Non-Smoker",220000
741,741,"Rooney Harber      ","1991-07-09","2007-05-01","male","Smoker",70000
742,742,"Jeremy Davidsohn   ","1963-07-09","2002-04-01","male","Non-Smoker",270000
743,743,"Oliy Jacobowitz    ","1998-02-11","2015-10-01","male","Smoker",130000
744,744,"Homer Patemore     ","1990-11-10","2013-01-01","female","Non-Smoker",370000
745,745,"Nicolea Faherty    ","1971-07-21","1988-06-01","male","Smoker",310000
746,746,"Hermione Newlyn    ","1964-08-26","2014-03-01","male","Smoker",330000
747,747,"Eunice Keasley     ","1957-06-03","2004-06-01","female","Smoker",435000
748,748,"Brig Gynne","1989-02-27","2010-05-01","male","Non-Smoker",485000
749,749,"Delaney Blaver     ","1980-09-24","1999-11-01","male","Non-Smoker",265000
750,750,"Selena Flacknell   ","1971-09-22","1989-04-01","female","Non-Smoker",100000
751,751,"Cecil Mayhow       ","1998-02-02","2015-10-01","female","Smoker",465000
752,752,"Allistir Custed    ","1999-06-05","2015-12-01","male","Smoker",250000
753,753,"Franni Koschke     ","1973-05-24","2001-05-01","female","Non-Smoker",475000
754,754,"Karl Abisetti      ","1992-12-19","2014-05-01","male","Non-Smoker",145000
755,755,"Beitris Allchorne  ","1981-05-06","2004-10-01","male","Non-Smoker",240000
756,756,"Beulah Whyatt      ","1972-03-17","1999-05-01","male","Smoker",95000
757,757,"Bryna Luquet       ","1962-11-22","1997-11-01","female","Non-Smoker",255000
758,758,"Lynda Ackland      ","1989-12-22","2015-08-01","male","Smoker",10000
759,759,"Rosie Aiton        ","1979-08-18","2005-02-01","male","Smoker",380000
760,760,"Orv Randall        ","1993-01-05","2015-04-01","female","Non-Smoker",235000
761,761,"Cassy Procter      ","1966-10-08","1993-04-01","female","Smoker",325000
762,762,"Cointon Houseman   ","1956-04-24","1996-10-01","female","Non-Smoker",370000
763,763,"Brewer Brosch      ","1979-10-05","1998-06-01","female","Non-Smoker",360000
764,764,"Carl Siburn        ","1988-07-12","2012-10-01","male","Smoker",125000
765,765,"Stevy Petteford    ","1972-03-09","1993-09-01","female","Smoker",480000
766,766,"Reinhard Scarlet   ","2000-09-24","2016-01-01","male","Non-Smoker",40000
767,767,"Celestyna Dyster   ","1992-03-16","2009-10-01","female","Smoker",60000
768,768,"Florian Crowthe    ","1968-02-25","1988-09-01","male","Smoker",385000
769,769,"Trudy Bonifant     ","1999-08-03","2016-07-01","female","Non-Smoker",180000
770,770,"Jerrie Tubridy     ","1973-07-11","2011-10-01","female","Non-Smoker",225000
771,771,"Iggy Grealish      ","1961-03-13","1995-08-01","female","Non-Smoker",275000
772,772,"Elianore Joysey    ","1958-08-11","2015-02-01","male","Smoker",375000
773,773,"Tim Elkin ","1950-03-02","2004-12-01","female","Non-Smoker",390000
774,774,"Cassandre Feaks    ","1956-09-05","1982-03-01","male","Smoker",275000
775,775,"Giuseppe Eckels    ","1995-07-04","2014-12-01","female","Smoker",420000
776,776,"Winne Sherred      ","1955-04-23","2006-10-01","male","Non-Smoker",15000
777,777,"Rabbi Meadway      ","1969-01-21","1997-09-01","male","Smoker",500000
778,778,"Tallie MacRierie   ","1953-11-19","1990-10-01","male","Non-Smoker",290000
779,779,"Morna Skehens      ","1965-03-21","1993-04-01","female","Smoker",165000
780,780,"Zack Artz ","1980-02-03","2010-09-01","male","Non-Smoker",50000
781,781,"Jerrilyn Tither    ","1987-09-03","2009-11-01","female","Smoker",135000
782,782,"Brittan Uc","1970-06-05","1994-08-01","male","Non-Smoker",40000
783,783,"Aldrich Cloute     ","1971-04-26","1992-06-01","male","Smoker",410000
784,784,"Munroe OBrogan    ","1964-09-23","1986-07-01","male","Smoker",195000
785,785,"Domenic Edmenson   ","1969-09-18","1988-09-01","male","Non-Smoker",495000
786,786,"Elberta Garrat     ","1956-02-05","2011-05-01","female","Smoker",195000
787,787,"Fran Rakestraw     ","1984-05-23","2013-09-01","female","Smoker",255000
788,788,"Mireille Buckles   ","1961-10-02","1989-11-01","female","Non-Smoker",320000
789,789,"Amara McWhirter    ","1993-03-21","2015-11-01","male","Non-Smoker",445000
790,790,"Codie Brende       ","1980-03-13","2004-08-01","female","Non-Smoker",75000
791,791,"Paquito Young      ","1992-07-11","2011-07-01","female","Non-Smoker",275000
792,792,"Estelle Grayston   ","1993-04-18","2010-04-01","male","Non-Smoker",255000
793,793,"Morris Dressel     ","1974-02-10","1992-05-01","female","Smoker",250000
794,794,"Glenn Hatley       ","1966-07-10","1982-08-01","female","Smoker",195000
795,795,"Jolie Gueinn       ","1992-09-20","2011-09-01","male","Smoker",35000
796,796,"Barrie Shippam     ","1958-08-26","1998-10-01","male","Non-Smoker",305000
797,797,"Bartlett Tippett   ","1974-04-18","2010-08-01","female","Smoker",405000
798,798,"Syman de Chastelain","1992-05-09","2014-09-01","male","Non-Smoker",70000
799,799,"Theresa Angood     ","1994-08-23","2014-12-01","male","Non-Smoker",275000
800,800,"Maybelle Heavyside ","1958-04-20","1989-10-01","female","Smoker",240000
801,801,"Tibold Isac        ","1988-09-10","2014-02-01","female","Non-Smoker",80000
802,802,"Megen DeAth       ","1999-04-18","2016-06-01","male","Smoker",65000
803,803,"Hatti Dowry        ","1955-09-22","1986-02-01","female","Non-Smoker",135000
804,804,"Stesha Brodie      ","1987-10-11","2009-05-01","male","Smoker",475000
805,805,"Mitchel Maffeo     ","1971-11-05","1987-09-01","male","Non-Smoker",500000
806,806,"Fan Keymar","1998-12-27","2015-11-01","male","Smoker",25000
807,807,"Cecile Tomasino    ","1993-11-06","2012-10-01","male","Non-Smoker",95000
808,808,"Hailee Braams      ","1985-09-23","2008-03-01","male","Non-Smoker",220000
809,809,"Sullivan Papa      ","1992-04-26","2014-07-01","male","Non-Smoker",150000
810,810,"Isabeau Franschini ","1993-05-20","2010-11-01","male","Smoker",100000
811,811,"Berri Staveley     ","1957-07-22","1987-11-01","female","Smoker",500000
812,812,"Dyana Daout        ","1952-02-21","1994-10-01","male","Non-Smoker",30000
813,813,"Amalee Asgodby     ","1994-10-02","2010-02-01","female","Non-Smoker",370000
814,814,"Ibby Arling        ","1999-04-05","2015-09-01","female","Smoker",430000
815,815,"Cointon Rolling    ","1953-03-11","2009-03-01","female","Non-Smoker",455000
816,816,"Ashil Tortoise     ","1985-07-13","2009-10-01","male","Smoker",440000
817,817,"Rey Scarrott       ","1966-06-17","1998-07-01","male","Smoker",225000
818,818,"Christian Farnaby  ","1988-04-03","2007-03-01","male","Smoker",185000
819,819,"Kissee Stickles    ","1988-11-04","2010-05-01","female","Smoker",390000
820,820,"Dionis Mullany     ","1982-12-09","1999-06-01","female","Smoker",300000
821,821,"Therese Enderson   ","1990-01-06","2015-08-01","male","Non-Smoker",85000
822,822,"Tobie Risen        ","1968-10-22","2005-09-01","male","Non-Smoker",300000
823,823,"Kristin Cressingham","1995-05-03","2013-11-01","male","Smoker",390000
824,824,"Estrella Hanbury-Brown  ","1971-04-28","2008-10-01","female","Non-Smoker",335000
825,825,"Hebert Cancellor   ","1962-05-18","1993-05-01","male","Smoker",335000
826,826,"Wilmar Carlucci    ","1984-05-09","2001-04-01","male","Non-Smoker",240000
827,827,"Diego Hudghton     ","1987-07-07","2013-04-01","female","Smoker",110000
828,828,"Beale Martinovic   ","1954-02-21","1980-10-01","female","Smoker",495000
829,829,"Zach Southwood     ","1962-01-01","1983-11-01","female","Smoker",325000
830,830,"Mabel Wysome       ","1961-12-10","1977-09-01","female","Non-Smoker",440000
831,831,"Cherilynn Lapthorne","1954-02-09","2007-09-01","female","Smoker",465000
832,832,"Robyn Rennels      ","1999-10-03","2015-07-01","male","Non-Smoker",280000
833,833,"Jacquie Sterling   ","1970-08-02","2015-09-01","male","Smoker",460000
834,834,"Nora Scotsbrook    ","1965-03-18","2004-11-01","female","Smoker",320000
835,835,"Idell Bearn        ","1964-04-21","2009-08-01","male","Non-Smoker",90000
836,836,"Prinz Lovegrove    ","1968-01-23","2000-10-01","male","Non-Smoker",235000
837,837,"Eilis Gummoe       ","1983-06-11","2003-04-01","male","Smoker",405000
838,838,"Neel Pick ","1950-11-12","2013-07-01","female","Non-Smoker",255000
839,839,"Mathias Ivanin     ","1977-01-17","2011-11-01","female","Smoker",415000
840,840,"Blinny Cohr        ","1951-04-05","1978-05-01","female","Smoker",320000
841,841,"Gay Miner ","1956-08-02","2015-07-01","male","Smoker",245000
842,842,"Thor Lamzed        ","1956-11-14","1987-11-01","male","Smoker",360000
843,843,"Tim Kimmitt        ","1988-01-11","2007-04-01","female","Smoker",65000
844,844,"Irvin Kempston     ","1966-02-28","2006-08-01","female","Smoker",185000
845,845,"Linc Lathleiff     ","1983-04-08","2014-04-01","female","Smoker",285000
846,846,"Heath Pennrington  ","1972-03-03","2007-07-01","female","Smoker",405000
847,847,"Cammy OCarran     ","1995-10-05","2014-10-01","male","Non-Smoker",300000
848,848,"Troy Jills","1961-11-24","1986-04-01","female","Non-Smoker",95000
849,849,"Melinde Fiveash    ","1973-08-23","2002-07-01","male","Non-Smoker",140000
850,850,"Oswald Francke     ","1992-10-12","2009-11-01","male","Smoker",355000
851,851,"Heida Dahlback     ","1960-11-17","2004-02-01","female","Non-Smoker",220000
852,852,"Beryl Jephcott     ","1975-09-24","1994-08-01","male","Non-Smoker",70000
853,853,"Nikki MacGiolla    ","1990-03-22","2009-06-01","female","Non-Smoker",430000
854,854,"Darcy Horney      ","1960-05-22","2007-04-01","male","Non-Smoker",475000
855,855,"Lethia Ardley      ","1970-06-18","2006-04-01","male","Smoker",210000
856,856,"Estrellita Terrell ","1979-10-07","1998-04-01","male","Non-Smoker",65000
857,857,"Thayne Kellough    ","1967-08-20","2011-06-01","male","Non-Smoker",245000
858,858,"Farrah Common      ","1998-01-22","2014-02-01","male","Smoker",465000
859,859,"Ashby Fludgate     ","1996-10-23","2014-08-01","male","Non-Smoker",155000
860,860,"Claus Haskayne     ","1951-08-17","2012-05-01","female","Non-Smoker",225000
861,861,"Sargent Sirkett    ","1979-03-10","2002-09-01","male","Non-Smoker",255000
862,862,"Emyle Hanaby       ","1978-01-11","1994-09-01","female","Smoker",400000
863,863,"Danita Levens      ","1964-07-12","2015-05-01","male","Non-Smoker",30000
864,864,"Noreen Shawyer     ","1987-02-14","2013-12-01","female","Non-Smoker",405000
865,865,"Tasha Volante      ","1975-09-26","2004-06-01","male","Non-Smoker",300000
866,866,"Carolann Scarbarrow","1958-10-01","2003-05-01","female","Non-Smoker",455000
867,867,"Nanni Rizzelli     ","1976-05-25","2005-11-01","male","Smoker",200000
868,868,"Ardeen Dhennin     ","1972-03-12","2011-08-01","male","Non-Smoker",215000
869,869,"Rhiamon Lambart    ","1976-11-18","2012-05-01","male","Smoker",365000
870,870,"Blanch Loren       ","1986-04-20","2012-09-01","male","Smoker",115000
871,871,"Annora Wolfe       ","1956-11-03","1987-02-01","female","Smoker",435000
872,872,"Byron Rumke        ","1996-09-13","2015-02-01","female","Smoker",260000
873,873,"Freeman Cooper     ","1951-05-18","1976-02-01","female","Smoker",60000
874,874,"Latia Befroy       ","1964-09-17","1983-04-01","female","Smoker",415000
875,875,"Audre Hucquart     ","1981-05-26","2000-05-01","female","Non-Smoker",485000
876,876,"Christye Prall     ","1963-09-01","1986-03-01","female","Non-Smoker",35000
877,877,"Alia Rives","1997-09-16","2015-03-01","female","Non-Smoker",140000
878,878,"Billye Caplen      ","1968-02-07","2008-12-01","female","Non-Smoker",180000
879,879,"Cecilia Vines      ","1978-12-10","2003-04-01","male","Non-Smoker",240000
880,880,"Gun Kubacek        ","1985-08-21","2004-10-01","female","Non-Smoker",390000
881,881,"Brook Baggalley    ","1997-12-02","2015-08-01","male","Non-Smoker",240000
882,882,"Mollie Kulicke     ","1991-09-21","2008-03-01","male","Non-Smoker",50000
883,883,"Erny Filipovic     ","1965-03-08","1996-12-01","female","Non-Smoker",160000
884,884,"Jacquenette Dockreay    ","1981-03-10","1999-04-01","male","Non-Smoker",100000
885,885,"Brendis OFallone  ","1990-09-13","2015-01-01","female","Non-Smoker",325000
886,886,"Penelope Burr      ","1974-05-20","2007-09-01","male","Smoker",480000
887,887,"Peri Starmont      ","1975-07-15","1993-04-01","female","Non-Smoker",160000
888,888,"Camila Aysh        ","1992-05-16","2011-10-01","male","Non-Smoker",345000
889,889,"Renata Westby      ","1964-02-24","2008-03-01","male","Non-Smoker",350000
890,890,"Selby Muggleton    ","1995-05-18","2015-09-01","female","Smoker",240000
891,891,"Randolph Landrick  ","1993-02-21","2013-12-01","female","Non-Smoker",20000
892,892,"Olvan Glassup      ","1964-03-10","1981-05-01","male","Non-Smoker",255000
893,893,"Rodrique Hurcombe  ","1951-07-11","1968-08-01","male","Smoker",130000
894,894,"Sanford Whitters   ","1956-05-04","1972-05-01","female","Non-Smoker",60000
895,895,"Reagan Gush        ","1991-06-12","2012-09-01","male","Smoker",405000
896,896,"Frannie Larter     ","1967-07-24","1995-06-01","male","Smoker",10000
897,897,"Piotr Hiscocks     ","1963-08-21","1986-11-01","female","Smoker",400000
898,898,"Theobald Grob      ","1965-06-21","2006-04-01","female","Smoker",490000
899,899,"Brigida Brunner    ","1970-04-26","1989-12-01","female","Smoker",45000
900,900,"Johnette McWhorter ","1986-10-09","2005-02-01","male","Non-Smoker",395000
901,901,"Ellyn Leydon       ","1951-02-10","1973-05-01","male","Smoker",160000
902,902,"Hamel Grigorian    ","1974-06-18","2006-05-01","female","Smoker",355000
903,903,"Innis Dobel        ","1950-03-06","2003-09-01","female","Non-Smoker",385000
904,904,"Royall Currao      ","1981-06-03","1999-06-01","male","Smoker",130000
905,905,"Michaeline Sarten  ","1991-06-05","2011-12-01","female","Non-Smoker",10000
906,906,"Norrie Rumin       ","1995-04-15","2011-06-01","male","Smoker",470000
907,907,"Bogey Guille       ","1965-05-02","2007-02-01","male","Smoker",130000
908,908,"Mallory Vaughan    ","1955-05-01","1991-03-01","female","Smoker",320000
909,909,"Anthia Winks       ","1978-03-09","2003-06-01","female","Smoker",25000
910,910,"Kellia Gianulli    ","1963-03-03","2008-06-01","female","Smoker",295000
911,911,"Robby Spalton      ","1994-09-27","2015-07-01","male","Smoker",355000
912,912,"Leigha Suero       ","1954-09-15","1972-06-01","female","Smoker",350000
913,913,"Gregor Ianelli     ","1983-11-16","2002-10-01","female","Non-Smoker",375000
914,914,"Inglis Pering      ","1998-06-20","2016-10-01","male","Non-Smoker",345000
915,915,"Martelle Dows      ","1994-10-22","2016-12-01","male","Non-Smoker",285000
916,916,"Evanne Arter       ","1969-05-16","2006-07-01","male","Smoker",245000
917,917,"Krissie End        ","1969-04-20","1987-11-01","male","Smoker",140000
918,918,"Rozanne Oggers     ","2000-11-18","2016-12-01","female","Smoker",330000
919,919,"Dorotea Enevold    ","1960-05-19","1982-04-01","male","Smoker",240000
920,920,"Hort Mulvin        ","1998-07-12","2015-01-01","male","Non-Smoker",85000
921,921,"Risa Mayzes        ","1968-08-14","2012-01-01","female","Non-Smoker",360000
922,922,"Isaac Siggin       ","1987-06-11","2014-07-01","female","Smoker",465000
923,923,"Delia Kennewell    ","1987-11-09","2014-10-01","female","Non-Smoker",175000
924,924,"Kalil Orbon        ","1986-04-24","2011-06-01","male","Smoker",180000
925,925,"Cosmo Ivakhnov     ","1956-01-06","1992-05-01","male","Smoker",145000
926,926,"Madelaine Jobling  ","1953-10-04","1974-04-01","female","Smoker",55000
927,927,"Jodi Cheeseman     ","1988-10-21","2010-02-01","female","Smoker",20000
928,928,"Stavros Castelli   ","1964-10-04","1996-09-01","male","Non-Smoker",435000
929,929,"Zebulon Lamyman    ","1977-08-21","2010-10-01","female","Smoker",285000
930,930,"Reagan Wellesley   ","1961-03-10","1993-10-01","female","Smoker",500000
931,931,"Leon Kender        ","1973-10-07","2008-09-01","female","Non-Smoker",30000
932,932,"Arvie Gisbey       ","1992-09-07","2014-10-01","female","Non-Smoker",415000
933,933,"Alair Millin       ","1969-02-16","1993-07-01","female","Non-Smoker",175000
934,934,"Alia Toulson       ","1983-07-01","2000-10-01","male","Smoker",35000
935,935,"Shellysheldon Aldin","1953-04-27","1990-10-01","male","Smoker",10000
936,936,"Easter Hess        ","1981-10-02","2007-05-01","male","Smoker",60000
937,937,"Brigida Rutty      ","1983-02-20","2013-08-01","male","Non-Smoker",340000
938,938,"Regine Galea       ","1983-01-20","2014-04-01","male","Smoker",140000
939,939,"Homere Riddel      ","1978-05-22","1998-10-01","male","Smoker",15000
940,940,"Aloin Persitt      ","1962-12-09","2005-02-01","male","Smoker",425000
941,941,"Chilton Gammet     ","1972-09-13","1998-03-01","female","Smoker",325000
942,942,"Rogerio Heggadon   ","1988-02-16","2006-06-01","female","Non-Smoker",470000
943,943,"Amalia Shoosmith   ","1985-08-22","2014-11-01","female","Non-Smoker",450000
944,944,"Sayer Ackeroyd     ","1975-10-03","2002-09-01","male","Non-Smoker",70000
945,945,"Ursala Gourdon     ","1996-08-19","2015-06-01","female","Smoker",380000
946,946,"Elsa Simpkiss      ","1960-05-14","1985-07-01","male","Smoker",130000
947,947,"Alanson Crosson    ","1955-07-09","1990-06-01","male","Smoker",295000
948,948,"Leif Benito        ","1979-03-20","2001-10-01","male","Non-Smoker",35000
949,949,"Agnella Gasnoll    ","1990-09-18","2013-04-01","male","Non-Smoker",160000
950,950,"Brent Saenz        ","1979-07-27","2001-05-01","male","Smoker",375000
951,951,"Culver Lemmanbie   ","1996-04-11","2014-08-01","male","Non-Smoker",310000
952,952,"Christy Scyner     ","1975-10-06","2011-05-01","female","Smoker",355000
953,953,"Muire Healey       ","1975-04-10","2011-02-01","female","Non-Smoker",330000
954,954,"Bobbie Lapham      ","1953-04-27","2003-11-01","male","Smoker",100000
955,955,"Gunther Somerscales","1961-10-21","2011-09-01","female","Smoker",75000
956,956,"Rici Christophle   ","1972-02-04","2014-11-01","male","Smoker",245000
957,957,"Candace Wheelhouse ","1998-06-15","2016-04-01","male","Non-Smoker",375000
958,958,"Georgiana Tinghill ","1994-10-08","2013-04-01","male","Smoker",235000
959,959,"Barclay Crispe     ","1962-06-04","1979-05-01","female","Non-Smoker",275000
960,960,"Art Featherston    ","1964-11-07","1994-02-01","male","Smoker",165000
961,961,"Jamill Perrone     ","1980-04-26","2006-06-01","male","Smoker",435000
962,962,"Kimbra Cookson     ","1978-05-09","1998-06-01","male","Non-Smoker",65000
963,963,"Abbott Naseby      ","1996-10-21","2013-07-01","female","Non-Smoker",485000
964,964,"Carlen Haddleton   ","1986-02-16","2014-08-01","male","Smoker",50000
965,965,"Concettina Waldrum ","1974-01-09","2005-06-01","male","Non-Smoker",495000
966,966,"Ansell Sherringham ","1991-07-26","2010-01-01","female","Non-Smoker",15000
967,967,"Witty Walklott     ","1955-07-20","1983-05-01","male","Smoker",460000
968,968,"Mirna Scroggins    ","1969-07-13","2013-10-01","female","Smoker",145000
969,969,"Abe Gue   ","1953-10-18","2016-01-01","male","Non-Smoker",275000
970,970,"Kelci Starie       ","1986-10-07","2013-03-01","male","Non-Smoker",160000
971,971,"Wallis Gilsthorpe  ","1957-06-08","1986-11-01","male","Non-Smoker",325000
972,972,"Zarla Sulland      ","1970-11-13","2014-05-01","male","Non-Smoker",285000
973,973,"Job Sivyer","1999-12-12","2016-09-01","female","Non-Smoker",330000
974,974,"Burlie Tayspell    ","1962-05-16","1980-04-01","female","Non-Smoker",265000
975,975,"Daphna Burchell    ","1991-07-04","2009-07-01","female","Non-Smoker",330000
976,976,"Robbi Feighry      ","1995-02-05","2011-04-01","male","Non-Smoker",50000
977,977,"Cole Teml ","1977-06-03","2014-08-01","male","Non-Smoker",220000
978,978,"Livvyy Lavrinov    ","1999-07-10","2015-08-01","female","Smoker",30000
979,979,"Sig Jelf  ","1973-03-19","1999-03-01","female","Non-Smoker",10000
980,980,"Corry Prayer       ","1965-06-25","1987-10-01","female","Smoker",420000
981,981,"Chevy McGeagh      ","1953-11-16","1978-09-01","female","Smoker",285000
982,982,"Jana Champ","1987-07-18","2015-12-01","female","Smoker",340000
983,983,"Monika Dowsett     ","1964-12-18","2003-06-01","female","Smoker",135000
984,984,"Rycca Parkes       ","1965-03-20","2016-03-01","female","Smoker",490000
985,985,"Millisent Greenrodd","1986-09-02","2014-03-01","female","Non-Smoker",450000
986,986,"Jervis Rude        ","1967-07-05","1997-01-01","male","Smoker",475000
987,987,"Amalita Lovie      ","1977-04-24","2010-08-01","male","Non-Smoker",40000
988,988,"Boniface ORoan    ","1961-10-08","1985-02-01","male","Smoker",490000
989,989,"Rebeca Yoell       ","1985-11-13","2014-02-01","female","Smoker",480000
990,990,"Lucias Derks       ","1996-08-08","2015-10-01","female","Smoker",165000
991,991,"Connor Cardenas    ","1992-03-16","2013-08-01","female","Smoker",200000
992,992,"Wolfie Templeton   ","1955-06-05","2003-04-01","male","Non-Smoker",205000
993,993,"Verene Judd        ","1972-10-21","1994-06-01","male","Smoker",25000
994,994,"Keeley Stobbart    ","1956-04-01","1983-03-01","female","Non-Smoker",215000
995,995,"Laurie Baldrey     ","1991-09-08","2010-04-01","male","Smoker",290000
996,996,"Flss Dumberell     ","1985-02-12","2006-02-01","male","Smoker",175000
997,997,"Kirsti Swash       ","1974-12-15","2014-08-01","female","Non-Smoker",195000
998,998,"Jerad Dauber       ","1979-11-04","2011-07-01","male","Smoker",170000
999,999,"Karel Twine        ","1974-10-04","2000-03-01","female","Smoker",235000
1000,1000,"Meredith Corradengo","1980-03-08","2005-09-01","male","Non-Smoker",375000
